Destination,Mood,Temperature (°C),Duration Range (days),Activities,Physicality (1–5),Family Friendly,Budget ($/day),Security (1–5)
Tokyo Variant 121,Romantic,0–15,7–14,"Adventure Sports, Trekking, Kayaking",1,No,190,3
Tokyo Variant 121,Romantic,0–15,3–5,"Adventure Sports, Trekking, Kayaking",4,No,166,4
Tokyo Variant 121,Exotic,0–15,7–14,"Adventure Sports, Trekking, Kayaking",2,No,225,3
Tokyo Variant 121,Romantic,0–15,5–10,"Adventure Sports, Trekking, Kayaking",4,No,182,3
Tokyo Variant 121,Energetic,0–15,7–14,"Adventure Sports, Trekking, Kayaking",2,No,196,4
Tokyo Variant 121,Vibrant,0–15,5–8,"Adventure Sports, Trekking, Kayaking",5,No,170,3
Queenstown Variant 211,Exotic,-10–5,10–20,"Spiritual Retreats, Yoga, Wellness",1,Yes,270,4
Queenstown Variant 211,Vibrant,-10–5,7–14,"Spiritual Retreats, Yoga, Wellness",4,Yes,278,3
Queenstown Variant 211,Relaxed,-10–5,3–5,"Spiritual Retreats, Yoga, Wellness",1,Yes,245,5
Queenstown Variant 211,Romantic,-10–5,3–5,"Spiritual Retreats, Yoga, Wellness",2,Yes,270,5
Queenstown Variant 211,Relaxed,-10–5,10–15,"Spiritual Retreats, Yoga, Wellness",3,Yes,295,3
Queenstown Variant 211,Adventurous,-10–5,7–14,"Spiritual Retreats, Yoga, Wellness",2,Yes,278,5
Sydney Variant 998,Balanced,10–25,7–14,"Skiing, Snowboarding, Hot Springs",1,Yes,160,4
Sydney Variant 998,Relaxed,10–25,5–10,"Skiing, Snowboarding, Hot Springs",4,Yes,176,5
Sydney Variant 998,Calm,10–25,3–5,"Skiing, Snowboarding, Hot Springs",3,Yes,165,3
Sydney Variant 998,Romantic,10–25,4–7,"Skiing, Snowboarding, Hot Springs",2,Yes,183,5
Sydney Variant 998,Exotic,10–25,10–15,"Skiing, Snowboarding, Hot Springs",1,Yes,145,4
Sydney Variant 998,Adventurous,10–25,5–8,"Skiing, Snowboarding, Hot Springs",3,Yes,141,4
Siem Reap Variant 105,Peaceful,10–25,2–4,"Beach, Snorkeling, Relaxation",4,Yes,230,4
Siem Reap Variant 105,Calm,10–25,3–5,"Beach, Snorkeling, Relaxation",3,Yes,266,5
Siem Reap Variant 105,Relaxed,10–25,3–5,"Beach, Snorkeling, Relaxation",2,Yes,232,3
Siem Reap Variant 105,Adventurous,10–25,5–8,"Beach, Snorkeling, Relaxation",1,Yes,224,3
Siem Reap Variant 105,Romantic,10–25,10–15,"Beach, Snorkeling, Relaxation",2,Yes,268,4
Siem Reap Variant 105,Energetic,10–25,5–10,"Beach, Snorkeling, Relaxation",2,Yes,272,3
Zanzibar Variant 471,Cultural,10–25,2–4,"Spiritual Retreats, Yoga, Wellness",4,Yes,90,2
Zanzibar Variant 471,Vibrant,10–25,3–5,"Spiritual Retreats, Yoga, Wellness",3,Yes,85,3
Zanzibar Variant 471,Romantic,10–25,10–15,"Spiritual Retreats, Yoga, Wellness",5,Yes,101,3
Zanzibar Variant 471,Energetic,10–25,5–10,"Spiritual Retreats, Yoga, Wellness",1,Yes,107,3
Zanzibar Variant 471,Exotic,10–25,5–10,"Spiritual Retreats, Yoga, Wellness",4,Yes,96,3
Zanzibar Variant 471,Energetic,10–25,3–5,"Spiritual Retreats, Yoga, Wellness",2,Yes,93,4
New York City Variant 707,Affordable,25–40,2–4,"Adventure Sports, Trekking, Kayaking",3,No,330,2
New York City Variant 707,Calm,25–40,10–15,"Adventure Sports, Trekking, Kayaking",2,No,313,4
New York City Variant 707,Energetic,25–40,7–14,"Adventure Sports, Trekking, Kayaking",3,No,379,4
New York City Variant 707,Vibrant,25–40,7–14,"Adventure Sports, Trekking, Kayaking",3,No,381,5
New York City Variant 707,Energetic,25–40,5–8,"Adventure Sports, Trekking, Kayaking",5,No,282,3
New York City Variant 707,Vibrant,25–40,3–5,"Adventure Sports, Trekking, Kayaking",4,No,268,3
Lofoten Islands Variant 602,Relaxed,0–15,7–14,"Hiking, Nature, Wildlife",5,Yes,230,5
Lofoten Islands Variant 602,Romantic,0–15,5–8,"Hiking, Nature, Wildlife",3,Yes,260,5
Lofoten Islands Variant 602,Exotic,0–15,5–8,"Hiking, Nature, Wildlife",4,Yes,199,4
Lofoten Islands Variant 602,Calm,0–15,5–10,"Hiking, Nature, Wildlife",5,Yes,200,5
Lofoten Islands Variant 602,Exotic,0–15,4–7,"Hiking, Nature, Wildlife",2,Yes,232,4
Lofoten Islands Variant 602,Exotic,0–15,5–10,"Hiking, Nature, Wildlife",3,Yes,199,4
Zanzibar Variant 220,Adventurous,0–15,3–7,"Hiking, Nature, Wildlife",2,Yes,370,2
Zanzibar Variant 220,Energetic,0–15,5–8,"Hiking, Nature, Wildlife",1,Yes,309,3
Zanzibar Variant 220,Romantic,0–15,5–10,"Hiking, Nature, Wildlife",5,Yes,375,4
Zanzibar Variant 220,Energetic,0–15,5–8,"Hiking, Nature, Wildlife",5,Yes,347,4
Zanzibar Variant 220,Relaxed,0–15,3–5,"Hiking, Nature, Wildlife",1,Yes,328,5
Zanzibar Variant 220,Adventurous,0–15,7–14,"Hiking, Nature, Wildlife",2,Yes,376,3
Banff Variant 39,Exotic,0–15,3–7,"Spiritual Retreats, Yoga, Wellness",5,No,150,5
Banff Variant 39,Energetic,0–15,3–5,"Spiritual Retreats, Yoga, Wellness",4,No,168,4
Banff Variant 39,Vibrant,0–15,7–14,"Spiritual Retreats, Yoga, Wellness",1,No,131,3
Banff Variant 39,Energetic,0–15,4–7,"Spiritual Retreats, Yoga, Wellness",3,No,125,3
Banff Variant 39,Exotic,0–15,3–5,"Spiritual Retreats, Yoga, Wellness",1,No,167,4
Banff Variant 39,Energetic,0–15,3–5,"Spiritual Retreats, Yoga, Wellness",4,No,158,5
Bali Variant 473,Vibrant,0–15,7–14,"Beach, Snorkeling, Relaxation",4,Yes,270,2
Bali Variant 473,Exotic,0–15,10–15,"Beach, Snorkeling, Relaxation",3,Yes,260,5
Bali Variant 473,Relaxed,0–15,7–14,"Beach, Snorkeling, Relaxation",1,Yes,225,5
Bali Variant 473,Relaxed,0–15,5–10,"Beach, Snorkeling, Relaxation",2,Yes,247,4
Bali Variant 473,Energetic,0–15,5–8,"Beach, Snorkeling, Relaxation",1,Yes,313,5
Bali Variant 473,Relaxed,0–15,5–10,"Beach, Snorkeling, Relaxation",3,Yes,318,5
Riga Variant 669,Spiritual,25–40,10–20,"Hiking, Nature, Wildlife",5,Yes,350,5
Riga Variant 669,Calm,25–40,7–14,"Hiking, Nature, Wildlife",1,Yes,350,4
Riga Variant 669,Calm,25–40,3–5,"Hiking, Nature, Wildlife",4,Yes,333,3
Riga Variant 669,Calm,25–40,7–14,"Hiking, Nature, Wildlife",4,Yes,360,4
Riga Variant 669,Romantic,25–40,4–7,"Hiking, Nature, Wildlife",5,Yes,346,4
Riga Variant 669,Romantic,25–40,7–14,"Hiking, Nature, Wildlife",3,Yes,348,3
Santorini Variant 965,Calm,0–15,10–20,"Skiing, Snowboarding, Hot Springs",1,Yes,240,2
Santorini Variant 965,Energetic,0–15,7–14,"Skiing, Snowboarding, Hot Springs",3,Yes,201,3
Santorini Variant 965,Exotic,0–15,10–15,"Skiing, Snowboarding, Hot Springs",4,Yes,286,5
Santorini Variant 965,Energetic,0–15,3–5,"Skiing, Snowboarding, Hot Springs",4,Yes,207,5
Santorini Variant 965,Exotic,0–15,10–15,"Skiing, Snowboarding, Hot Springs",2,Yes,229,3
Santorini Variant 965,Relaxed,0–15,5–10,"Skiing, Snowboarding, Hot Springs",1,Yes,238,4
Vienna Variant 870,Elegant,25–40,7–14,"Museums, Cafes, Historic Sites",2,Yes,310,4
Vienna Variant 870,Vibrant,25–40,7–14,"Museums, Cafes, Historic Sites",5,Yes,258,4
Vienna Variant 870,Vibrant,25–40,10–15,"Museums, Cafes, Historic Sites",4,Yes,346,3
Vienna Variant 870,Adventurous,25–40,5–8,"Museums, Cafes, Historic Sites",2,Yes,304,5
Vienna Variant 870,Vibrant,25–40,4–7,"Museums, Cafes, Historic Sites",4,Yes,280,3
Vienna Variant 870,Adventurous,25–40,5–8,"Museums, Cafes, Historic Sites",1,Yes,349,3
Muscat Variant 887,Energetic,10–25,3–7,"Museums, Cafes, Historic Sites",3,Yes,60,2
Muscat Variant 887,Energetic,10–25,5–10,"Museums, Cafes, Historic Sites",4,Yes,55,5
Muscat Variant 887,Vibrant,10–25,4–7,"Museums, Cafes, Historic Sites",2,Yes,49,4
Muscat Variant 887,Romantic,10–25,10–15,"Museums, Cafes, Historic Sites",1,Yes,51,5
Muscat Variant 887,Relaxed,10–25,3–5,"Museums, Cafes, Historic Sites",2,Yes,65,4
Muscat Variant 887,Calm,10–25,10–15,"Museums, Cafes, Historic Sites",4,Yes,66,4
Colombo Variant 362,Mysterious,10–25,7–14,"Adventure Sports, Trekking, Kayaking",4,No,360,5
Colombo Variant 362,Relaxed,10–25,5–8,"Adventure Sports, Trekking, Kayaking",3,No,427,5
Colombo Variant 362,Romantic,10–25,5–10,"Adventure Sports, Trekking, Kayaking",5,No,374,3
Colombo Variant 362,Exotic,10–25,7–14,"Adventure Sports, Trekking, Kayaking",2,No,292,4
Colombo Variant 362,Energetic,10–25,3–5,"Adventure Sports, Trekking, Kayaking",3,No,405,5
Colombo Variant 362,Energetic,10–25,10–15,"Adventure Sports, Trekking, Kayaking",4,No,365,3
Auckland Variant 380,Sunny,20–35,10–20,"Adventure Sports, Trekking, Kayaking",2,Yes,160,2
Auckland Variant 380,Calm,20–35,4–7,"Adventure Sports, Trekking, Kayaking",2,Yes,190,5
Auckland Variant 380,Exotic,20–35,3–5,"Adventure Sports, Trekking, Kayaking",2,Yes,160,3
Auckland Variant 380,Vibrant,20–35,5–10,"Adventure Sports, Trekking, Kayaking",2,Yes,145,5
Auckland Variant 380,Relaxed,20–35,4–7,"Adventure Sports, Trekking, Kayaking",4,Yes,185,3
Auckland Variant 380,Adventurous,20–35,5–10,"Adventure Sports, Trekking, Kayaking",5,Yes,147,3
Kotor Variant 442,Diverse,10–25,3–7,"Spiritual Retreats, Yoga, Wellness",4,No,130,3
Kotor Variant 442,Vibrant,10–25,7–14,"Spiritual Retreats, Yoga, Wellness",2,No,133,4
Kotor Variant 442,Relaxed,10–25,5–10,"Spiritual Retreats, Yoga, Wellness",1,No,151,3
Kotor Variant 442,Adventurous,10–25,10–15,"Spiritual Retreats, Yoga, Wellness",1,No,150,5
Kotor Variant 442,Adventurous,10–25,4–7,"Spiritual Retreats, Yoga, Wellness",3,No,113,3
Kotor Variant 442,Adventurous,10–25,4–7,"Spiritual Retreats, Yoga, Wellness",2,No,148,4
Dubai Variant 441,Laid-back,0–15,7–14,"Skiing, Snowboarding, Hot Springs",1,Yes,170,2
Dubai Variant 441,Romantic,0–15,3–5,"Skiing, Snowboarding, Hot Springs",5,Yes,138,5
Dubai Variant 441,Energetic,0–15,5–8,"Skiing, Snowboarding, Hot Springs",5,Yes,174,3
Dubai Variant 441,Vibrant,0–15,5–10,"Skiing, Snowboarding, Hot Springs",4,Yes,199,4
Dubai Variant 441,Romantic,0–15,3–5,"Skiing, Snowboarding, Hot Springs",2,Yes,185,4
Dubai Variant 441,Calm,0–15,3–5,"Skiing, Snowboarding, Hot Springs",4,Yes,171,5
Sofia Variant 535,Luxury,20–35,10–20,"Skiing, Snowboarding, Hot Springs",2,No,450,2
Sofia Variant 535,Adventurous,20–35,5–8,"Skiing, Snowboarding, Hot Springs",2,No,438,4
Sofia Variant 535,Vibrant,20–35,5–8,"Skiing, Snowboarding, Hot Springs",4,No,516,3
Sofia Variant 535,Romantic,20–35,7–14,"Skiing, Snowboarding, Hot Springs",4,No,508,5
Sofia Variant 535,Vibrant,20–35,10–15,"Skiing, Snowboarding, Hot Springs",3,No,474,3
Sofia Variant 535,Calm,20–35,7–14,"Skiing, Snowboarding, Hot Springs",5,No,427,4
Jerusalem Variant 886,Wellness,25–40,5–10,"Beach, Snorkeling, Relaxation",3,No,100,4
Jerusalem Variant 886,Vibrant,25–40,5–8,"Beach, Snorkeling, Relaxation",2,No,106,5
Jerusalem Variant 886,Adventurous,25–40,3–5,"Beach, Snorkeling, Relaxation",2,No,85,3
Jerusalem Variant 886,Vibrant,25–40,4–7,"Beach, Snorkeling, Relaxation",1,No,81,5
Jerusalem Variant 886,Calm,25–40,4–7,"Beach, Snorkeling, Relaxation",2,No,105,3
Jerusalem Variant 886,Exotic,25–40,10–15,"Beach, Snorkeling, Relaxation",4,No,110,5
Edinburgh Variant 282,Spiritual,0–15,10–20,"Spiritual Retreats, Yoga, Wellness",5,No,160,2
Edinburgh Variant 282,Romantic,0–15,3–5,"Spiritual Retreats, Yoga, Wellness",1,No,151,3
Edinburgh Variant 282,Adventurous,0–15,3–5,"Spiritual Retreats, Yoga, Wellness",1,No,169,4
Edinburgh Variant 282,Romantic,0–15,10–15,"Spiritual Retreats, Yoga, Wellness",2,No,159,3
Edinburgh Variant 282,Romantic,0–15,10–15,"Spiritual Retreats, Yoga, Wellness",1,No,186,5
Edinburgh Variant 282,Relaxed,0–15,3–5,"Spiritual Retreats, Yoga, Wellness",4,No,188,4
Prague Variant 828,Modern,25–40,5–10,"Beach, Snorkeling, Relaxation",2,Yes,300,2
Prague Variant 828,Adventurous,25–40,7–14,"Beach, Snorkeling, Relaxation",5,Yes,261,4
Prague Variant 828,Exotic,25–40,7–14,"Beach, Snorkeling, Relaxation",3,Yes,250,4
Prague Variant 828,Vibrant,25–40,3–5,"Beach, Snorkeling, Relaxation",5,Yes,306,3
Prague Variant 828,Vibrant,25–40,7–14,"Beach, Snorkeling, Relaxation",4,Yes,253,5
Prague Variant 828,Adventurous,25–40,7–14,"Beach, Snorkeling, Relaxation",4,Yes,293,4
Santorini Variant 149,Modern,10–25,5–10,"Hiking, Nature, Wildlife",3,No,220,2
Santorini Variant 149,Calm,10–25,5–8,"Hiking, Nature, Wildlife",5,No,220,5
Santorini Variant 149,Adventurous,10–25,5–8,"Hiking, Nature, Wildlife",3,No,232,5
Santorini Variant 149,Vibrant,10–25,10–15,"Hiking, Nature, Wildlife",2,No,209,4
Santorini Variant 149,Exotic,10–25,3–5,"Hiking, Nature, Wildlife",3,No,235,5
Santorini Variant 149,Romantic,10–25,5–8,"Hiking, Nature, Wildlife",3,No,234,4
Cape Town Variant 582,Quiet,25–40,2–4,"Skiing, Snowboarding, Hot Springs",3,Yes,480,3
Cape Town Variant 582,Relaxed,25–40,5–10,"Skiing, Snowboarding, Hot Springs",1,Yes,427,5
Cape Town Variant 582,Romantic,25–40,10–15,"Skiing, Snowboarding, Hot Springs",4,Yes,550,3
Cape Town Variant 582,Exotic,25–40,5–8,"Skiing, Snowboarding, Hot Springs",5,Yes,425,5
Cape Town Variant 582,Romantic,25–40,4–7,"Skiing, Snowboarding, Hot Springs",3,Yes,477,3
Cape Town Variant 582,Adventurous,25–40,4–7,"Skiing, Snowboarding, Hot Springs",2,Yes,531,4
Tokyo Variant 704,Romantic,0–15,5–10,"Beach, Snorkeling, Relaxation",5,No,280,3
Tokyo Variant 704,Calm,0–15,4–7,"Beach, Snorkeling, Relaxation",5,No,308,5
Tokyo Variant 704,Romantic,0–15,3–5,"Beach, Snorkeling, Relaxation",1,No,227,4
Tokyo Variant 704,Relaxed,0–15,5–8,"Beach, Snorkeling, Relaxation",4,No,309,3
Tokyo Variant 704,Calm,0–15,4–7,"Beach, Snorkeling, Relaxation",5,No,269,3
Tokyo Variant 704,Exotic,0–15,5–10,"Beach, Snorkeling, Relaxation",4,No,239,5
Zanzibar Variant 861,Vibrant,-10–5,5–10,"Museums, Cafes, Historic Sites",4,Yes,190,2
Zanzibar Variant 861,Relaxed,-10–5,5–10,"Museums, Cafes, Historic Sites",2,Yes,152,4
Zanzibar Variant 861,Relaxed,-10–5,5–8,"Museums, Cafes, Historic Sites",1,Yes,228,3
Zanzibar Variant 861,Romantic,-10–5,10–15,"Museums, Cafes, Historic Sites",5,Yes,199,3
Zanzibar Variant 861,Energetic,-10–5,3–5,"Museums, Cafes, Historic Sites",1,Yes,176,3
Zanzibar Variant 861,Calm,-10–5,10–15,"Museums, Cafes, Historic Sites",3,Yes,193,4
Prague Variant 680,Peaceful,25–40,3–7,"Beach, Snorkeling, Relaxation",5,Yes,240,2
Prague Variant 680,Calm,25–40,5–10,"Beach, Snorkeling, Relaxation",1,Yes,268,3
Prague Variant 680,Calm,25–40,7–14,"Beach, Snorkeling, Relaxation",3,Yes,255,5
Prague Variant 680,Exotic,25–40,4–7,"Beach, Snorkeling, Relaxation",5,Yes,216,4
Prague Variant 680,Exotic,25–40,3–5,"Beach, Snorkeling, Relaxation",4,Yes,210,3
Prague Variant 680,Vibrant,25–40,5–8,"Beach, Snorkeling, Relaxation",2,Yes,232,3
Paris Variant 202,Affordable,0–15,3–7,"Beach, Snorkeling, Relaxation",4,Yes,270,2
Paris Variant 202,Energetic,0–15,5–8,"Beach, Snorkeling, Relaxation",3,Yes,309,3
Paris Variant 202,Exotic,0–15,5–10,"Beach, Snorkeling, Relaxation",1,Yes,281,4
Paris Variant 202,Calm,0–15,7–14,"Beach, Snorkeling, Relaxation",2,Yes,249,3
Paris Variant 202,Calm,0–15,4–7,"Beach, Snorkeling, Relaxation",5,Yes,270,3
Paris Variant 202,Energetic,0–15,5–10,"Beach, Snorkeling, Relaxation",5,Yes,315,5
Cusco Variant 949,Laid-back,10–25,10–20,"Museums, Cafes, Historic Sites",2,Yes,330,4
Cusco Variant 949,Calm,10–25,4–7,"Museums, Cafes, Historic Sites",1,Yes,334,4
Cusco Variant 949,Romantic,10–25,4–7,"Museums, Cafes, Historic Sites",2,Yes,265,5
Cusco Variant 949,Romantic,10–25,5–8,"Museums, Cafes, Historic Sites",1,Yes,339,4
Cusco Variant 949,Vibrant,10–25,3–5,"Museums, Cafes, Historic Sites",1,Yes,366,3
Cusco Variant 949,Exotic,10–25,4–7,"Museums, Cafes, Historic Sites",1,Yes,339,5
Phuket Variant 219,Charming,-10–5,10–20,"Hiking, Nature, Wildlife",4,No,470,4
Phuket Variant 219,Adventurous,-10–5,4–7,"Hiking, Nature, Wildlife",5,No,455,4
Phuket Variant 219,Relaxed,-10–5,10–15,"Hiking, Nature, Wildlife",4,No,529,3
Phuket Variant 219,Relaxed,-10–5,10–15,"Hiking, Nature, Wildlife",5,No,549,3
Phuket Variant 219,Exotic,-10–5,3–5,"Hiking, Nature, Wildlife",4,No,547,3
Phuket Variant 219,Energetic,-10–5,7–14,"Hiking, Nature, Wildlife",1,No,383,3
Bali Variant 209,Elegant,-10–5,5–10,"Adventure Sports, Trekking, Kayaking",1,No,460,4
Bali Variant 209,Energetic,-10–5,10–15,"Adventure Sports, Trekking, Kayaking",3,No,377,5
Bali Variant 209,Calm,-10–5,4–7,"Adventure Sports, Trekking, Kayaking",1,No,464,4
Bali Variant 209,Calm,-10–5,5–10,"Adventure Sports, Trekking, Kayaking",3,No,490,4
Bali Variant 209,Relaxed,-10–5,4–7,"Adventure Sports, Trekking, Kayaking",1,No,422,4
Bali Variant 209,Energetic,-10–5,5–8,"Adventure Sports, Trekking, Kayaking",3,No,508,5
Lima Variant 816,Relaxed,20–35,3–7,"Spiritual Retreats, Yoga, Wellness",1,Yes,380,4
Lima Variant 816,Relaxed,20–35,5–10,"Spiritual Retreats, Yoga, Wellness",5,Yes,378,3
Lima Variant 816,Romantic,20–35,5–10,"Spiritual Retreats, Yoga, Wellness",3,Yes,396,4
Lima Variant 816,Adventurous,20–35,7–14,"Spiritual Retreats, Yoga, Wellness",2,Yes,435,4
Lima Variant 816,Vibrant,20–35,7–14,"Spiritual Retreats, Yoga, Wellness",5,Yes,366,3
Lima Variant 816,Vibrant,20–35,3–5,"Spiritual Retreats, Yoga, Wellness",2,Yes,421,5
Prague Variant 498,Vibrant,25–40,7–14,"Adventure Sports, Trekking, Kayaking",5,Yes,450,4
Prague Variant 498,Calm,25–40,5–10,"Adventure Sports, Trekking, Kayaking",5,Yes,432,3
Prague Variant 498,Relaxed,25–40,5–10,"Adventure Sports, Trekking, Kayaking",3,Yes,445,3
Prague Variant 498,Romantic,25–40,4–7,"Adventure Sports, Trekking, Kayaking",1,Yes,360,3
Prague Variant 498,Exotic,25–40,5–10,"Adventure Sports, Trekking, Kayaking",3,Yes,469,5
Prague Variant 498,Adventurous,25–40,5–8,"Adventure Sports, Trekking, Kayaking",5,Yes,416,5
Tunis Variant 256,Luxury,10–25,10–20,"Spiritual Retreats, Yoga, Wellness",1,No,190,3
Tunis Variant 256,Energetic,10–25,7–14,"Spiritual Retreats, Yoga, Wellness",5,No,206,5
Tunis Variant 256,Vibrant,10–25,7–14,"Spiritual Retreats, Yoga, Wellness",3,No,217,3
Tunis Variant 256,Vibrant,10–25,5–10,"Spiritual Retreats, Yoga, Wellness",3,No,175,3
Tunis Variant 256,Exotic,10–25,7–14,"Spiritual Retreats, Yoga, Wellness",5,No,195,3
Tunis Variant 256,Adventurous,10–25,10–15,"Spiritual Retreats, Yoga, Wellness",5,No,163,5
Kotor Variant 517,Laid-back,0–15,2–4,"Museums, Cafes, Historic Sites",2,Yes,370,5
Kotor Variant 517,Calm,0–15,5–10,"Museums, Cafes, Historic Sites",4,Yes,376,3
Kotor Variant 517,Energetic,0–15,7–14,"Museums, Cafes, Historic Sites",1,Yes,437,5
Kotor Variant 517,Romantic,0–15,7–14,"Museums, Cafes, Historic Sites",5,Yes,405,4
Kotor Variant 517,Adventurous,0–15,4–7,"Museums, Cafes, Historic Sites",5,Yes,348,4
Kotor Variant 517,Calm,0–15,4–7,"Museums, Cafes, Historic Sites",4,Yes,412,5
Phuket Variant 868,Cultural,20–35,2–4,"Beach, Snorkeling, Relaxation",3,No,180,2
Phuket Variant 868,Calm,20–35,7–14,"Beach, Snorkeling, Relaxation",1,No,204,3
Phuket Variant 868,Exotic,20–35,4–7,"Beach, Snorkeling, Relaxation",3,No,199,3
Phuket Variant 868,Energetic,20–35,10–15,"Beach, Snorkeling, Relaxation",4,No,205,3
Phuket Variant 868,Exotic,20–35,5–8,"Beach, Snorkeling, Relaxation",5,No,148,3
Phuket Variant 868,Relaxed,20–35,3–5,"Beach, Snorkeling, Relaxation",3,No,169,3
Bangkok Variant 248,Exotic,0–15,10–20,"Museums, Cafes, Historic Sites",3,No,90,2
Bangkok Variant 248,Energetic,0–15,5–8,"Museums, Cafes, Historic Sites",5,No,99,4
Bangkok Variant 248,Calm,0–15,7–14,"Museums, Cafes, Historic Sites",2,No,84,3
Bangkok Variant 248,Energetic,0–15,3–5,"Museums, Cafes, Historic Sites",4,No,83,5
Bangkok Variant 248,Vibrant,0–15,5–10,"Museums, Cafes, Historic Sites",3,No,86,4
Bangkok Variant 248,Energetic,0–15,3–5,"Museums, Cafes, Historic Sites",3,No,76,4
Tunis Variant 770,Elegant,10–25,10–20,"Spiritual Retreats, Yoga, Wellness",4,No,40,5
Tunis Variant 770,Exotic,10–25,5–10,"Spiritual Retreats, Yoga, Wellness",4,No,47,3
Tunis Variant 770,Energetic,10–25,10–15,"Spiritual Retreats, Yoga, Wellness",4,No,36,4
Tunis Variant 770,Calm,10–25,7–14,"Spiritual Retreats, Yoga, Wellness",2,No,39,3
Tunis Variant 770,Adventurous,10–25,7–14,"Spiritual Retreats, Yoga, Wellness",3,No,47,4
Tunis Variant 770,Calm,10–25,10–15,"Spiritual Retreats, Yoga, Wellness",4,No,39,5
Zanzibar Variant 710,Spiritual,25–40,5–10,"Spiritual Retreats, Yoga, Wellness",3,Yes,490,5
Zanzibar Variant 710,Relaxed,25–40,5–10,"Spiritual Retreats, Yoga, Wellness",2,Yes,455,3
Zanzibar Variant 710,Calm,25–40,10–15,"Spiritual Retreats, Yoga, Wellness",3,Yes,531,3
Zanzibar Variant 710,Vibrant,25–40,10–15,"Spiritual Retreats, Yoga, Wellness",1,Yes,577,4
Zanzibar Variant 710,Energetic,25–40,3–5,"Spiritual Retreats, Yoga, Wellness",1,Yes,489,3
Zanzibar Variant 710,Exotic,25–40,10–15,"Spiritual Retreats, Yoga, Wellness",1,Yes,568,4
Amalfi Coast Variant 512,Historic,20–35,7–14,"Spiritual Retreats, Yoga, Wellness",4,Yes,70,5
Amalfi Coast Variant 512,Romantic,20–35,5–8,"Spiritual Retreats, Yoga, Wellness",1,Yes,69,5
Amalfi Coast Variant 512,Relaxed,20–35,4–7,"Spiritual Retreats, Yoga, Wellness",2,Yes,66,4
Amalfi Coast Variant 512,Energetic,20–35,4–7,"Spiritual Retreats, Yoga, Wellness",2,Yes,59,5
Amalfi Coast Variant 512,Adventurous,20–35,5–8,"Spiritual Retreats, Yoga, Wellness",3,Yes,60,5
Amalfi Coast Variant 512,Exotic,20–35,7–14,"Spiritual Retreats, Yoga, Wellness",1,Yes,71,4
Tokyo Variant 768,Spiritual,-10–5,5–10,"Museums, Cafes, Historic Sites",1,No,340,5
Tokyo Variant 768,Exotic,-10–5,5–10,"Museums, Cafes, Historic Sites",2,No,403,5
Tokyo Variant 768,Energetic,-10–5,5–10,"Museums, Cafes, Historic Sites",1,No,314,4
Tokyo Variant 768,Romantic,-10–5,5–10,"Museums, Cafes, Historic Sites",4,No,351,4
Tokyo Variant 768,Adventurous,-10–5,5–10,"Museums, Cafes, Historic Sites",1,No,299,3
Tokyo Variant 768,Energetic,-10–5,3–5,"Museums, Cafes, Historic Sites",3,No,397,4
Tokyo Variant 776,Exotic,-10–5,2–4,"Beach, Snorkeling, Relaxation",4,Yes,100,5
Tokyo Variant 776,Adventurous,-10–5,7–14,"Beach, Snorkeling, Relaxation",2,Yes,99,3
Tokyo Variant 776,Romantic,-10–5,5–10,"Beach, Snorkeling, Relaxation",5,Yes,108,3
Tokyo Variant 776,Energetic,-10–5,5–10,"Beach, Snorkeling, Relaxation",1,Yes,107,3
Tokyo Variant 776,Relaxed,-10–5,4–7,"Beach, Snorkeling, Relaxation",4,Yes,112,3
Tokyo Variant 776,Relaxed,-10–5,10–15,"Beach, Snorkeling, Relaxation",3,Yes,96,5
Lofoten Islands Variant 82,Spiritual,-10–5,3–7,"Adventure Sports, Trekking, Kayaking",3,No,440,4
Lofoten Islands Variant 82,Energetic,-10–5,7–14,"Adventure Sports, Trekking, Kayaking",4,No,366,3
Lofoten Islands Variant 82,Romantic,-10–5,5–10,"Adventure Sports, Trekking, Kayaking",4,No,419,5
Lofoten Islands Variant 82,Calm,-10–5,5–8,"Adventure Sports, Trekking, Kayaking",4,No,373,5
Lofoten Islands Variant 82,Relaxed,-10–5,5–10,"Adventure Sports, Trekking, Kayaking",3,No,451,3
Lofoten Islands Variant 82,Calm,-10–5,7–14,"Adventure Sports, Trekking, Kayaking",1,No,401,3
New York City Variant 535,Historic,20–35,3–7,"Spiritual Retreats, Yoga, Wellness",4,No,320,2
New York City Variant 535,Exotic,20–35,4–7,"Spiritual Retreats, Yoga, Wellness",2,No,353,3
New York City Variant 535,Calm,20–35,5–10,"Spiritual Retreats, Yoga, Wellness",3,No,379,4
New York City Variant 535,Vibrant,20–35,5–10,"Spiritual Retreats, Yoga, Wellness",2,No,282,3
New York City Variant 535,Calm,20–35,3–5,"Spiritual Retreats, Yoga, Wellness",1,No,299,3
New York City Variant 535,Romantic,20–35,5–8,"Spiritual Retreats, Yoga, Wellness",1,No,288,5
Patagonia Variant 166,Romantic,10–25,3–7,"Hiking, Nature, Wildlife",3,Yes,350,3
Patagonia Variant 166,Exotic,10–25,10–15,"Hiking, Nature, Wildlife",4,Yes,377,5
Patagonia Variant 166,Exotic,10–25,4–7,"Hiking, Nature, Wildlife",3,Yes,406,5
Patagonia Variant 166,Vibrant,10–25,5–10,"Hiking, Nature, Wildlife",4,Yes,339,4
